id,id_category,product_name
1,1,Set Đồ 2 Món Gồm Áo Sơ Mi Tay Dài Và Quần Dài Plus Size Phong Cách Hong Kong Thời Trang Xuân Thu Cho Nam
2,1,Bộ Thể Thao Nam Chất Nỉ 4 Màu Trẻ Trung Năng Động Thời Trang Cao Cấp VICERO
3,1,Áo sơ mi nam form rộng Pastel Premium phong cách Unisex thời trang
4,1,Quần Áo Nam Mùa Hè Vincii Đồ Bộ Thể Thao Nam Nữ Cao Cấp Cotton Ngắn Tay Mềm Mịn Thấm Hút Mồ Hôi Set Bộ Nam Ekc Thun
5,1,Sét 3 món áo gile + áo phông + quần đùi COH0321
6,1,Set Áo Thun Ngắn Tay Cổ Chữ V Quần short Lưng Cao Ống Rộng Thời Trang Nữ
7,1,Sét quần áo thể thao unisex áo thun tay lỡ PuM phối màu đen trắng basic kèm quần short đùi nam nữ năng động
8,1,Set áo thun ngắn tay + quần short IFNICEFUTURE thời trang cho nam
9,1,Bộ Áo Thun + Chân Váy Ngắn Kẻ Sọc Caro Thời Trang Mùa Hè Mới Cho Bé 3-5-8-10-13 Tuổi 15-45KG
10,1,"Bộ quần áo sơ mi cho bé Beemo, Chất liệu cotton mềm mịn, màu áo nâu kết hợp cùng quần đen vô cùng bảnh trai B087"
11,1,Bộ Áo Thun + Chân Váy Ngắn Kẻ Sọc Caro Thời Trang Mùa Hè Mới Cho Bé 3-5-8-10-13 Tuổi 15-45KG
12,1,"Bộ quần áo sơ mi cho bé Beemo, Chất liệu cotton mềm mịn, màu áo nâu kết hợp cùng quần đen vô cùng bảnh trai B087"
13,1,Pizama phi lụa tay dài quần dài
14,2,"Giày MLB Chunky Liner đủ màu, giày MLB bản cao cấp ( tăng 1 size ) full phụ kiện"
15,2,Dép a.d.i.d.a.s Aqua Quai Ngang Slip On Đi Mưa Nhanh Khô Càng Mang Lâu Càng Êm Chân
16,2,Dép đi trong nhà AYUER hình cá mập 4cm
17,2,"Giày Thể Thao AF1 Khoai Môn Trắng Kem,Giày air Force Cao Cấp mẫu mới dành cho nam nữu Full Size-Top1s"
18,2,"Giày thể thao nam năng động trẻ trung chất liệu vải thể thao , đế cao su non đi rất mềm và êm chân - Mã sản phẩm: B601"
19,2,Giày cao gót vuông 7p hở mũi quai chéo vòng cổ hột vuông __LZ001
20,2,"Giày Sneaker LV Màu Trắng Thời trang siêu Hot, xịn xò,Giày ( Fullbox và Freeship )"
21,2,Giày quai đá sáng hothit
22,2,5 MÀU - QUAI PHỒNG CHUẨN] Guốc lê nữ cao gót 7cm quai da tết bính đan phồng ôm chân mũi vuông hot trend đẹp chảnh
23,2,"Giày Jordan cổ cao đen trắng, JD1 cao cổ nam nữ"
26,3,điện thoại S21 Pro android mới 8+256GB wifi 5G điện thoại 2 SIM video hoạt hình điện thoại thông minh
27,3,"[MÁY ĐẸP 99%] Điện thoại Samsung j2 prime g532 (1,5/8GB) Máy cũ- Hàng chính hãng"
28,3,Điện Thoại Samsung Galaxy A03 (3GB/32GB)- Hàng Chính Hãng
29,3,Điện thoại smartphone VIVO Y81 ram 4G/64G chơi game mượt zalo/fb tiktok cực êm- BH 1 năm
30,3,Điện Thoại Xiaomi Redmi 9A 2GB/32GB - Hàng Chính Hãng
31,3,"điện thoại Oppo A1 2sim ram 4G/64G mới Chính hãng, Chiến PUBG/Free Fire mướt - BNN 04"
32,3,Điện Thoại Nokia 6303 Chính Hãng Vỏ Thép Bảo Hành 12 Tháng
33,3,Apple iPhone 14 128GB
34,3,Apple iPhone 11 128GB
35,3,Điện Thoại Samsung Galaxy Z Flip3 5G 128GB
36,3,Apple iPhone 13 128GB
37,4,"Laptop Huawei Matebook D15/Silver/15.6""HD Fullview/i3-10110U/8GB RAM/256SSD"
38,4,"Máy Tính Lenovo Thinkpad L380 - Core i5-8250u, Ram16G | SSD256G | Màn 13,3 inch | Bảo Hành 12 tháng"
39,4,Máy tính xách tay 15.6 inch mới nhất 2021
40,4,"Laptop Asus ROG Strix G15 G513IH-HN015W/Ryzen 7-4800H/15.6""FHD/8GB/512GB/GTX 1650 4GB"
41,4,Máy tính HPI 450G3 Core i5-2.3GHz (6200U) / 8GB / 256GB / DVD multi / 15.6 / Win10Pro64bit
42,4,Laptop ASUS E410MA (Intel Celeron N4020/4GB/128GB SSD/14.0 HD/ 1.3KG
43,4,"Laptop Dell Vostro 3425 R5-5625U,8GB,512GB,14""FHD,W11,OfficeHS2021 (V4R55625U206W)"
44,4,"Apple Macbook Pro (2022) M2 chip, 13.3 inches, 8GB, 256GB SSD"
45,4,"Apple Macbook Air (2022) M2 chip, 13.6 inches, 8GB, 256GB SSD"
46,4,"Laptop Asus ROG Strix G15 G513IH-HN015W/Ryzen 7-4800H/15.6""FHD/8GB/512GB/GTX 1650 4GB"
47,4,Laptop Asus Vivobook 16X M1603QA-MB123W (AMD Ryzen 5-5600H)
48,4,"Dell Inspiron 5310, Laptop Văn Phòng Mỏng Nhẹ ( Core i5-11320H, VGA Intel Iris Xe G7, Màn 13.3 inch 2K IPS, 100% sRGB )"
49,5,"Kem dưỡng trắng da body Rmon White Label Dia Whitening Cream 200ml, da sáng đều màu trắng hồng tự nhiên, luhacosmetics"
50,5,"Serum dưỡng sáng, làm đều màu da URIAGE DÉPIDERM SÉRUM CORRECTEUR ÉCLAT 30ml"
51,5,Bút Kẻ Mắt SUAKE Nét Mảnh
52,5,Son Lì Chống Dính Cốc Lâu Trôi Không Thấm Nước Kakashow
53,5,Son Tint Bóng Lì nội địa trung PINKCOCO mềm mịn như nhung chống thấm nước chống khô môi lâu
54,5,"Combo Kem + Serum Nám Lasmar Mờ Nám Da, Tàn Nhang, Đồi Mồi Lâu Năm Từ Bên Trong"
55,5,MASK FAMILY Bộ 4 sản phẩm chăm sóc da mặt gồm đậu xanh toner 200ml +sữa rửa mặt 120g + lotion 100ml + Mặt nạ đất sét 125g
56,5,Cây Lăn Mát Xa Mặt Chống Nếp Nhăn Chăm Sóc Da Tiện Dụng
57,5,BT Tuýp rỗng chuyên dụng đựng mỹ phẩm đa năng khi đi du lịch
58,5,Kem dưỡng da mềm mịn Redwin Vitamin E Cream 300g
59,5,"Sáp Wax vuốt tóc GENTLEMAN""S Clay Wax (BARBERSHOP)"
60,5,Nước Hoa Nam Mini Sexy Man ? Nước Hoa Nam Chính Hãng Thơm Lâu Phong Cách Sexy Nam Tính
61,5,Xịt thơm Body mist mùi nam Victoria Fleur - 236ml
62,5,Dầu xả cao cấp HACHI VIETNAM Cascade 480g xanh ngọc tinh chất bạc hà dầu Oliu dành cho tóc gàu ngứa
63,6,Set 6/9/10 Dụng Cụ Lấy Ráy Tai Đa Năng Tiện Dụng
64,6,Túi chườm nóng lạnh bằng chất liệu mềm mại JP6
65,6,Hộp 50 cái Khẩu Trang 3D Mask
66,6,Đai chống gù lưng - vai - eo - chất liệu bền-thoáng - ​có nẹp cố định cột sống
67,6,"Miếng Dán Massage Xung Điện EMS Tích Hợp 6 Chế Độ, Giảm Nhức Mỏi Cổ Vai Gáy Hiệu Quả, Thư Giãn Cơ"
68,6,Massage đầu cây mát xa đầu thư giãn thông minh (MSD01)
69,6,Bao Tay Cao Su Y Tế Đen Không Bột hộp 100 chiếc ( 50 đôi). Găng Tay Đen Siêu Dai Sử Dụng Trong Tóc Spa Phun Xăm Thẩm Mỹ
70,6,NƯỚC NGÂM KÍNH ÁP TRÒNG - NUỚC NHỎ MẮT ( AQUA B5 )
71,6,Nước Ngâm + Nhỏ Mắt Chuyên Dụng Cho Lens Thương Hiệu Fresh Eye Xanh Hồng
72,6,Dụng Cụ Mát Xa Cổ Cầm Tay Giúp Giảm Áp Lực Tiện Dụng
73,7,Áo Giữ Nhiệt Nam ?????????? Áo Dài Tay Nam Body Bóng Đá Co Dãn 2 Chiều - Bull Sport
74,7,"Túi Xách Du Lịch To Đại, Đựng Quần Áo, Đi Chơi Dài Ngày Siêu Đẹp"
75,7,BÓNG ĐÁ SỐ 4 DA CAO CẤP SIÊU PHẨM MỚI(TẶNG TÚI LƯỚI+KIM BƠM+1 ĐÔI TẤT DÀI ĐÁ BÓNG) TRẮNG ĐỎ
76,7,Giầy đá bóng ba sọc KHÂU FULL ĐẾ + TRỰC TIẾP TỪ XƯỞNG + BẢO HÀNH 3 THÁNG
77,7,Bó Gối Thể Thao Bảo Vệ Đầu Gối Chơi Đá Bóng Bóng Rổ Bóng Chuyền Băng Đầu Gối Tập Gym Chạy Bộ Tennis Cầu Lông Đạp Xe Yoga
78,7,"Áo bóng đá 22/23 ,manchester united, man city, arsenal, liverpool, tottenham, psg, milan, munich, real madrid, barcelona"
79,7,Áo giữ nhiệt nam dài tay full size thể thao 6 màu cá tính Áo thun nam cổ tròn vải mềm mại siêu co giãn 2c
80,7,"Tất đá bóng ?FREESHIP? vớ đá banh, tất bóng đá chống trượt cao cấp"
81,7,Dây nhảy giảm cân đốt mỡ bụng lõi thép đàn hồi có tạ 2.9m tập thể dục gym muay thái tại nhà fashion86_store
82,7,Túi đựng giày dép du lịch thể thao đá bóng dây rút MAKAN
83,7,Băng keo thể thao đá bóng cuốn cổ chân cổ tay cao su non vải chống chấn thương hỗ trợ thi đấu và tập luyện
84,7,Găng tay thể thao thoáng khí chống nắng thích hợp để chơi thể thao ngoài trời
85,7,"Áo bra tập Gym, Yoga ba khuy cài sau chất đẹp (CÓ SIZE) ms 889"
86,7,"Quần chun mông tập gym cạp cao, quần legging tập gym nữ, tập mông co giãn 8 chiều QCM01"
87,8,Dưỡng tâm giàu có dưỡng thân nghèo khó
88,8,Sách - Bộ 7 Cuốn: 30 Ngày Thay Đổi Bản Thân - Loại Bỏ 30 Thói Quen Xấu Đánh Cắp Thời Gian Của Bạn
89,8,Sách - Tôi Quyết Định Sống Cho Chính Tôi (Bản Không Sổ To Do List)
90,8,Sách - Rèn luyện tư duy phản biện
91,8,Sách - Hành Tinh Của Một Kẻ Nghĩ Nhiều
92,8,Sách Khi Bạn Đang Mơ Thì Người Khác Đang Nỗ Lực
93,8,Sách Tuổi Trẻ Đáng Giá Bao Nhiêu
94,8,Sách - Tôi Từng Nghĩ Mọi Thứ Sẽ Ổn Khi Trở Thành Người Lớn
95,8,Sách Hai số phận (Bìa cứng)
96,8,Sách Khéo Ăn Nói Sẽ Có Được Thiên Hạ ( Tái Bản )
97,9,Pcbfun Mô đun Chuyển đổi Tăng áp 1800w 40a Dc-dc
98,9,Mỏ Hàn Thiếc 60w Mỏ Hàn Điện Mini Điện Tử Chỉnh Nhiệt
99,9,Kìm cắt chân linh kiện điện tử HOBO USA (3 1/2”) - Thép Cr-v không gỉ cao cấp - Hàng chất lượng
100,9,Linh Kiện Điện Tử Diode Cầu
101,9,Đèn Led nháy 7 màu 5mm (vỏ trong suốt) / Led nhấp nháy 7 màu ngẫu nhiên / Linh Kiện Điện Tử
102,9,"Module relay 5V, 12V 1 kênh đóng cắt thiết bị điện 10A"
103,9,"Thiết bị nhấp nháy màn hình điện thoại tử tự động có thể điều chỉnh,Thiết bị bấm tự động giữ màn hình sáng dùng khi chơi game màu"
104,9,"Pin Maxell 2A , 3A cho camera thiết bị điện tử chuột không dây"
105,9,Đồng Hồ Đo Điện Vạn Năng DT9205A - Thích hợp cho thợ điện tử hay học sinh sinh viên học- bảo hành 1 tháng
106,9,"Cân điện tử mini bỏ túi MH333, Cân tiểu ly 200g/0.01g, Thiết kế kiểu dáng nắp gập, bỏ túi tiện lợi"
107,9,"BỘ TÔ VÍT SỬA ĐIỆN THOẠI, LINH KIỆN ĐIỆN TỬ (HARDEN) - 6 CHI TIẾT - 550121 DC-TOOLS"
108,9,Module Cảm Biến Khí GAS MQ2
109,9,Vôn Kế Điện Tử 0.36 Inch 4.5V-30VDC
110,9,Cầu chì ống 5x20 -0.2A -0.5A - 1A - 2A - 3A - 5A-6A-7A-8A - 10A-12A-15A-20A
111,10,LIGE Đồng Hồ Nam Màu Đen Đồng Hồ Đeo Tay Thể Thao Chống Nước Chính Hãng Mới Nhất Lịch Và Hộp Đồng Hồ Bấm Giờ Wth
112,10,Đồng Hồ Điện Tử Dạ Quang Thời Trang
113,10,"Đồng hồ nam, nữ thể thao kiểu dáng mới khỏe khoắn máy cơ dây cao su SPORT WATER"
114,10,"Đồng hồ thời trang nữ Mstianq MH022 mặt hoa cúc cực đẹp, nhiều màu dể dàng phối đồ, cá tính, trẻ trung"
115,10,[SHOP CHÍNH HÃNG] Đồng hồ nam OLEVS 2881 Lịch dây đeo bằng thép không gỉ Có chức năng phát sáng chống thấm nước
116,10,Đồng Hồ Nam Chính Hãng Geneva G22 TD3 Dây Thép Lưới Cao Cấp Phong Cách Thời Trang Đẹp giá Rẻ
117,10,"Đồng hồ Nam đẹp Tisselly Bussiness Classic | Đồng hồ chống nước, chống xước dành cho Nam 40MM "
118,10,Đồng Hồ Nữ Daniel Wellington Classic Petite Ashfield Rose Gold & Cuff DW V1 Chính Hãng - OtisWatch MSP47528
119,10,Đồng Hồ Nam Dây Da Thiết Kế Đơn Giản
120,10,Đồng Hồ Kim Chống Thấm Nước Thời Trang Dành Cho Nam
121,10,Đồng hồ thời trang nữ VKA đính cườm dây silicon GBM111
122,10,[SHOP CHÍNH HÃNG] OLEVS 2871 Đồng hồ nam chính hãng Lịch chuyển động thạch anh Mặt số phát sáng chống thấm nước
123,11,"Bộ máy ảnh Nikon 1 J1 kèm ống kính NIKKOR 10-30mm f/3.5–5.6 VR Mirrorless nhỏ gọn, dễ sử dụng"
124,11,"Skin 3M dán full body cho máy ảnh canon eos R5 , Eos R6"
125,11,Máy quay kỹ thuật số cầm tay HD 1080P 16X HD 1080P
126,11,Inch TFT LCD Display 18MP 720P 8x Zoom HD Digital Camera Anti-Shake Camcorder Videos CMOS Micro Camera
127,11,Máy ảnh film pns Pentax Espio 125M
128,11,Camera SLR Kĩ Thuật Số Siêu Mỏng Hd 1080p Slr 4k Dv 2.4 Inch Zoom 16x
129,11,Bộ máy ảnh canon 450D kèm ống kính
130,11,Bộ máy ảnh Mirrorless Nikon 1 J2 kèm ống kính Kit NIKKOR 10-30mm f/3.5–5.6VR
131,11,Bộ máy ảnh Canon EOS 100D (Kiss X7) kèm ống kính Canon EF-S 18-55mm
132,11,Máy ảnh Canon M50 kèm lens 15-45mm
133,12,Set 2 khăn tắm + khăn mặt gấu hồng LOTSO
134,12,"Mũ gội đầu chắn nước bảo vệ tai cho bé 0 - 6 tuổi, có thể điều chỉnh vòng đầu"
135,12,"Nón bảo hiểm 3/4 Tiroshi chính hãng, mũ bảo hiểm cao cấp thời trang thoáng khí, bảo vệ đầu chống va đập"
136,12,Tem rời sirius mẫu zin + tem 3 lớp+ 50cc -110cc
137,12,Đèn trợ sáng l4 Ngắn 3 chế độ Sáng tặng kèm công tắc + ốc gương
138,12, Ngắn 3 chế độ Sáng tặng kèm công tắc
139,12,Máy lọc nước 2 vòi Nóng Nguội AQuausan mẫu mới 2022
140,12,"Máy hút bụi cầm tay - Máy hút không dây lực hút siêu mạnh sử dụng pin sạc, dùng hút bụi ô tô, bụi giường thảm vv."
141,12,Kính Mát Gọng Vuông Lớn Chống Ánh Sáng Xanh Thời Trang Hàn Quốc
142,12,Vòng Đeo Tay Mặt Gấu Trong Suốt Ba Chiều Thời Trang Hàn Quốc
143,12,"Toàn Quốc [E-Voucher] Gói Netflix Premium HD/4K - Gói 3 tháng, 6 tháng và 12 tháng gói share"
144,12,Thẻ viettel 20k
147,1,Sản phẩm số 1
148,1,test 1234
149,2,test 234